x
-1 1
1 1.148753 183.522786
2 3.063432 136.609562
3 2.894917 129.04365
4 0.642028 173.410547
5 2.787708 129.322989
6 3.154294 136.726821
7 2.646975 312.850993
8 3.72504 209.658487
9 2.734431 210.762112
10 2.011553 291.239563
11 2.810306 200.280337
12 3.874743 204.217767
13 2.703759 151.734489
14 3.239669 127.950806
15 2.356126 143.628563
16 2.750361 147.061894
17 2.771 124.416198
18 3.620857 126.291612
19 2.372313 60.351689
20 2.724437 61.757882
21 2.643306 46.193719
22 2.201535 60.979425
23 2.388371 54.49928
24 2.160713 55.376569
25 1.283862 20.279296
26 1.288019 20.103108
27 1.166573 20.577123
28 1.144117 16.448678
29 1.252892 19.72791
30 1.188891 18.797264
31 0.298363 8.110168
32 0.317578 7.124704
33 0.29395 6.378958
34 0.323173 6.819747
35 0.246528 6.794777
36 0.236594 6.632091
37 0.473939 30.885949
38 1.549517 36.321339
39 1.262783 35.021085
40 0.322723 29.071992
41 1.395206 39.401549
42 1.427092 39.968884
43 1.187012 72.403043
44 1.773958 77.913459
45 1.265472 74.79212800000001
46 0.708297 67.977625
47 1.387071 76.509305
48 1.535857 85.79209
49 1.295922 87.663737
50 1.864509 58.156093
51 1.231798 52.123908
52 0.945336 65.572507
53 1.094205 61.145281
54 1.520276 60.671093
55 1.289045 43.374955
56 1.387791 36.456546
57 1.346262 34.945803
58 1.22458 42.471144
59 1.147378 32.934466
60 1.205035 39.306007
61 0.985969 16.888242
62 0.840413 14.94232
63 0.790619 14.904698
64 0.845696 14.329356
65 0.725997 16.184216
66 0.720406 14.954502
67 0.318116 6.334172
68 0.27451 6.365512
69 0.240743 4.850179
70 0.331858 4.841488
71 0.257698 4.827951
72 0.212563 5.287609
